## xgal,ygal,zgal,mgal,rhgas,rhstar,R200,M200,RTopHat,MTopHat 
41.409626,58.225079,12.402707,2537232128.000000,6.690785,4.419820,228.531372,1274706132992.000000,301.113678,1488378134528.000000 
91.812653,5.233484,10.563594,3773578752.000000,7.570031,2.203509,213.904922,1045190672384.000000,289.264893,1319379140608.000000 
36.775768,97.803841,10.017316,2464030208.000000,4.919014,2.268197,206.286530,937557426176.000000,269.004150,1061120770048.000000 
89.407234,63.993057,11.589843,1025510848.000000,28.390499,2.838286,132.258423,247089954816.000000,176.918793,301882343424.000000 
84.231155,47.021358,10.898384,1182894720.000000,18.560036,2.440446,107.930161,134275719168.000000,142.879807,159004016640.000000 
50.815914,0.655648,12.108558,1250679936.000000,24.952131,3.851727,104.059418,120341946368.000000,135.463272,135504052224.000000 
88.206764,69.127541,13.569771,1059624192.000000,15.328679,4.277497,108.220345,135353524224.000000,140.872559,152417042432.000000 
69.362877,10.800981,12.373340,2103820160.000000,18.334246,2.319988,104.979500,123551784960.000000,137.017761,140220465152.000000 
84.392433,47.104324,11.267053,1030507968.000000,15.333156,2.354411,103.073357,116929183744.000000,134.592484,132913741824.000000 
24.356394,66.437965,10.294645,4114006784.000000,0.000000,3.219188,672.236206,32441261621248.000000,926.452820,43346852577280.000000 
24.515711,65.794319,10.191947,2533712896.000000,0.000000,2.667661,672.236206,32441261621248.000000,926.452820,43346852577280.000000 
25.120302,66.217575,10.057661,1069989888.000000,0.000000,3.503263,672.236206,32441261621248.000000,926.452820,43346852577280.000000 
48.573586,88.440918,10.778062,1373184000.000000,24.935144,2.469966,105.685852,126078197760.000000,136.382904,138285236224.000000 
52.050285,20.147882,12.001671,3187560192.000000,1.766086,3.148474,99.544792,105332252672.000000,127.779320,113738924032.000000 
84.975761,69.352203,10.438837,1285664128.000000,2.854366,3.064805,77.862999,50412101632.000000,103.587120,60601978880.000000 
69.945297,11.360512,13.126175,12132696064.000000,17.237492,4.819342,389.293793,6300541911040.000000,527.053894,7981204242432.000000 
51.852280,11.365817,14.660312,40055214080.000000,48.985546,3.791160,326.650726,3722156179456.000000,492.399292,6508432064512.000000 
52.104141,11.394842,14.569729,6094317568.000000,6.153439,4.494623,326.650726,3722156179456.000000,492.399292,6508432064512.000000 
74.351570,14.903273,13.282950,10277989376.000000,16.712263,3.472798,356.180634,4825688309760.000000,480.140015,6034229297152.000000 
32.552147,66.799461,14.820886,9543343104.000000,4.520222,5.006383,334.475555,3996080406528.000000,442.601685,4726636150784.000000 
36.780846,69.629761,11.886789,14465654784.000000,56.471035,4.132042,234.927383,1384701886464.000000,322.154236,1822624841728.000000 
88.387550,5.347317,12.466604,14362089472.000000,12.453881,3.241683,262.068604,1922189885440.000000,342.415894,2188690063360.000000 
52.174538,19.465885,10.624332,1179989376.000000,0.000000,3.654140,588.893433,21811288866816.000000,784.698730,26342829588480.000000 
